,leiden_0.5,leiden_1,leiden_2,UMAP1,UMAP2
E7.5:injection5:clone_209,0,8,1,12.733506,-0.13972521
E7.5:injection5:clone_21,1,2,10,7.565784,-2.0123782
E7.5:injection5:clone_210,0,8,1,11.821161,-0.9583894
E7.5:injection5:clone_211,7,11,14,2.095344,9.071672
E7.5:injection5:clone_212,0,3,1,13.59191,-0.74148923
E7.5:injection5:clone_213,0,8,1,12.378188,0.18981938
E7.5:injection5:clone_214,4,10,11,11.167881,-5.4685006
E7.5:injection5:clone_215,0,3,4,13.479116,0.849906
E7.5:injection5:clone_216,2,0,6,0.4259237,3.3256485
E7.5:injection5:clone_218,1,2,8,9.871714,-1.0649214
E7.5:injection5:clone_219,0,3,4,14.212465,-0.70508975
E7.5:injection5:clone_22,5,5,0,14.896517,-4.365227
E7.5:injection5:clone_220,0,8,1,11.89182,-0.18666498
E7.5:injection5:clone_222,4,7,5,9.540009,-4.834212
E7.5:injection5:clone_225,1,6,13,12.076498,-3.62335
E7.5:injection5:clone_227,1,2,8,8.28592,-2.5926096
E7.5:injection5:clone_228,1,2,8,9.515414,-1.6452873
E7.5:injection5:clone_229,0,8,1,11.778558,-0.64821553
E7.5:injection5:clone_230,7,11,14,2.8973722,9.281536
E7.5:injection5:clone_231,3,1,15,14.955314,4.4034405
E7.5:injection5:clone_232,1,6,13,12.811222,-3.8871953
E7.5:injection5:clone_233,0,3,17,13.744233,1.2949618
E7.5:injection5:clone_235,0,3,1,13.765285,-0.44361997
E7.5:injection5:clone_236,1,6,13,11.655652,-4.4094973
E7.5:injection5:clone_237,1,6,12,11.131195,-3.3078403
E7.5:injection5:clone_238,1,6,12,10.699021,-2.303312
E7.5:injection5:clone_239,0,8,1,12.151538,-0.53480244
E7.5:injection5:clone_24,1,2,10,8.698684,-1.6143978
E7.5:injection5:clone_240,3,1,7,16.390356,2.1280506
E7.5:injection5:clone_243,1,2,8,10.025975,-1.6558689
E7.5:injection5:clone_246,1,6,12,10.686522,-2.927564
E7.5:injection5:clone_247,0,8,1,11.457901,0.090169065
E7.5:injection5:clone_25,2,0,6,-0.32296863,3.5364685
E7.5:injection5:clone_250,0,3,4,15.293372,0.22775938
E7.5:injection5:clone_252,7,11,14,3.1100552,9.456811
E7.5:injection5:clone_253,4,7,5,10.093435,-4.3916078
E7.5:injection5:clone_254,0,8,1,11.738185,-0.39217675
E7.5:injection5:clone_255,0,3,4,13.52627,1.2489513
E7.5:injection5:clone_256,0,8,1,11.38591,-1.3412769
E7.5:injection5:clone_257,0,3,4,14.873787,0.6398536
E7.5:injection5:clone_258,1,2,8,9.564619,-1.8021848
E7.5:injection5:clone_26,3,1,15,14.559696,4.2648005
E7.5:injection5:clone_261,3,1,15,15.213794,4.6888065
E7.5:injection5:clone_262,0,8,1,12.016939,-0.36478814
E7.5:injection5:clone_263,0,3,4,14.952809,1.6153561
E7.5:injection5:clone_264,3,1,15,15.645768,3.6316879
E7.5:injection5:clone_265,1,6,12,11.103784,-2.4808607
E7.5:injection5:clone_266,2,0,9,-0.8698331,2.9546733
E7.5:injection5:clone_268,3,1,7,16.263615,3.3180525
E7.5:injection5:clone_269,1,2,8,9.74973,-2.0558405
E7.5:injection5:clone_27,3,1,16,15.907203,4.8727674
E7.5:injection5:clone_270,1,6,13,12.440756,-3.509564
E7.5:injection5:clone_272,5,5,0,14.302885,-5.6524024
E7.5:injection5:clone_273,6,9,18,-0.7440838,-0.8564164
E7.5:injection5:clone_274,7,11,14,2.9679453,9.131606
E7.5:injection5:clone_276,5,5,0,14.444524,-5.3089347
E7.5:injection5:clone_278,0,8,1,12.707478,0.32049978
E7.5:injection5:clone_279,3,1,15,15.024124,4.8415375
E7.5:injection5:clone_28,3,1,7,16.696302,3.0814505
E7.5:injection5:clone_281,1,6,12,11.494521,-2.727574
E7.5:injection5:clone_282,1,2,8,9.326106,-2.2137384
E7.5:injection5:clone_284,5,5,0,13.767861,-5.4475102
E7.5:injection5:clone_286,1,6,12,11.297607,-2.5566957
E7.5:injection5:clone_287,5,5,0,12.828126,-5.4043
E7.5:injection5:clone_288,1,2,8,10.937289,-1.5153164
E7.5:injection5:clone_289,5,5,0,14.0265255,-4.700834
E7.5:injection5:clone_29,3,1,15,15.083516,4.355485
E7.5:injection5:clone_291,1,2,8,9.173623,-1.4132293
E7.5:injection5:clone_292,0,8,1,11.034554,-0.33376652
E7.5:injection5:clone_293,4,7,5,10.14024,-4.674284
E7.5:injection5:clone_294,0,3,4,14.569783,0.9654005
E7.5:injection5:clone_295,2,0,6,-0.2519564,3.8005457
E7.5:injection5:clone_296,5,5,0,14.944318,-3.7911792
E7.5:injection5:clone_297,4,7,5,9.868868,-4.688639
E7.5:injection5:clone_298,5,5,0,14.841339,-2.7367642
E7.5:injection5:clone_299,1,2,8,8.992518,-2.9716938
E7.5:injection5:clone_3,3,1,15,14.236399,3.3896813
E7.5:injection5:clone_30,0,8,1,10.665542,-0.7165326
E7.5:injection5:clone_301,6,9,9,-0.7348421,0.7432112
E7.5:injection5:clone_302,4,10,11,11.078237,-5.771289
E7.5:injection5:clone_303,0,3,4,14.0964155,0.93941224
E7.5:injection5:clone_304,0,8,1,11.095896,-1.1229029
E7.5:injection5:clone_305,3,1,15,14.316009,2.9427564
E7.5:injection5:clone_308,5,5,0,14.222185,-4.6358404
E7.5:injection5:clone_31,1,6,13,12.724101,-3.3584595
E7.5:injection5:clone_310,0,8,1,11.818678,-0.7798062
E7.5:injection5:clone_311,1,2,8,9.687967,-1.6275915
E7.5:injection5:clone_312,5,5,0,14.4437895,-2.9644914
E7.5:injection5:clone_314,7,11,14,2.4549148,9.089025
E7.5:injection5:clone_317,1,2,10,7.835944,-1.260152
E7.5:injection5:clone_318,1,2,10,7.725683,-1.4231255
E7.5:injection5:clone_319,2,0,6,-0.14245231,2.0824542
E7.5:injection5:clone_32,0,3,4,15.435034,0.35196164
E7.5:injection5:clone_320,1,2,8,8.6350355,-2.734099
E7.5:injection5:clone_321,1,2,8,9.974953,-2.1461272
E7.5:injection5:clone_323,0,3,1,13.673821,-0.59597147
E7.5:injection5:clone_324,1,2,10,7.847261,-1.3377943
E7.5:injection5:clone_325,1,2,8,10.823776,-1.9047045
E7.5:injection5:clone_326,1,2,8,10.069396,-1.8365023
E7.5:injection5:clone_328,1,6,13,11.297845,-4.2137165
E7.5:injection5:clone_33,1,2,8,9.824142,-1.8393714
E7.5:injection5:clone_331,0,8,1,11.937079,-1.6695
E7.5:injection5:clone_333,1,2,10,8.090659,-1.4227142
E7.5:injection5:clone_335,3,1,15,14.935483,4.1729717
E7.5:injection5:clone_338,2,0,6,-0.4873305,3.7316654
E7.5:injection5:clone_34,4,10,11,11.217605,-5.891757
E7.5:injection5:clone_340,0,8,1,11.943822,-1.1367434
E7.5:injection5:clone_344,1,6,13,11.830179,-2.4008741
E7.5:injection5:clone_348,0,3,4,15.301317,0.5399202
E7.5:injection5:clone_349,0,3,4,13.6975565,0.80892265
E7.5:injection5:clone_35,1,2,10,7.7006607,-1.4144295
E7.5:injection5:clone_350,1,2,10,7.8697133,-2.3174903
E7.5:injection5:clone_351,2,0,6,-0.066113874,3.218817
E7.5:injection5:clone_352,1,2,10,7.845386,-1.1896595
E7.5:injection5:clone_353,3,1,4,15.197275,2.8544598
E7.5:injection5:clone_354,3,1,16,16.706919,4.3230753
E7.5:injection5:clone_356,1,2,10,8.905003,-0.3039594
E7.5:injection5:clone_358,1,6,13,12.258984,-3.7642872
E7.5:injection5:clone_36,1,6,12,11.187436,-2.899299
E7.5:injection5:clone_360,4,7,5,9.996569,-4.589281
E7.5:injection5:clone_361,5,10,11,13.140552,-6.234245
E7.5:injection5:clone_364,5,5,0,14.674953,-1.7621185
E7.5:injection5:clone_365,1,2,10,7.8310676,-0.99833965
E7.5:injection5:clone_366,0,8,1,11.212126,-0.60369277
E7.5:injection5:clone_367,1,2,8,10.340413,-0.90853924
E7.5:injection5:clone_368,1,6,12,11.307958,-2.5198076
E7.5:injection5:clone_369,1,2,8,10.041491,-1.16824
E7.5:injection5:clone_373,1,2,10,8.2620125,-2.065834
E7.5:injection5:clone_374,1,2,8,9.645431,-1.2257397
E7.5:injection5:clone_375,1,6,12,11.588336,-3.4881737
E7.5:injection5:clone_376,6,9,9,-0.95228976,0.94048727
E7.5:injection5:clone_377,1,2,10,8.080552,-1.0927789
E7.5:injection5:clone_378,1,2,8,8.7458315,-2.8356578
E7.5:injection5:clone_38,3,1,16,16.035915,4.199752
E7.5:injection5:clone_381,0,8,1,11.453577,-1.6956646
E7.5:injection5:clone_382,6,9,9,-1.0404803,0.68637484
E7.5:injection5:clone_383,0,8,1,12.169681,0.18400861
E7.5:injection5:clone_385,0,3,4,15.218247,0.65979946
E7.5:injection5:clone_386,7,11,14,1.9989568,8.655871
E7.5:injection5:clone_388,3,1,7,15.217159,2.3281863
E7.5:injection5:clone_39,3,1,16,16.698719,4.730622
E7.5:injection5:clone_391,1,2,10,8.593996,-0.8580739
E7.5:injection5:clone_392,1,6,12,11.7241335,-3.005436
E7.5:injection5:clone_394,0,3,4,14.644261,1.664881
E7.5:injection5:clone_397,0,3,4,13.822756,-0.576017
E7.5:injection5:clone_40,1,2,10,7.6169605,-1.2066991
E7.5:injection5:clone_400,7,11,14,2.6033828,8.540003
E7.5:injection5:clone_403,0,8,1,10.396305,-0.57877064
E7.5:injection5:clone_405,5,5,0,14.376772,-5.2745323
E7.5:injection5:clone_406,6,9,9,-0.5382243,1.0680503
E7.5:injection5:clone_407,1,2,8,9.513498,-1.5357188
E7.5:injection5:clone_408,3,1,7,14.93471,2.5641658
E7.5:injection5:clone_409,7,11,14,2.5181162,9.339212
E7.5:injection5:clone_41,5,5,0,14.230935,-3.9930797
E7.5:injection5:clone_412,0,3,4,13.890636,0.07572059
E7.5:injection5:clone_414,5,5,0,14.876886,-3.8947415
E7.5:injection5:clone_415,0,8,1,11.28947,-0.41529706
E7.5:injection5:clone_416,7,11,14,2.2481098,9.050896
E7.5:injection5:clone_417,0,8,1,10.704555,-0.29951712
E7.5:injection5:clone_419,0,3,4,14.135915,-0.23384632
E7.5:injection5:clone_42,3,1,4,14.94497,2.4351385
E7.5:injection5:clone_421,7,11,14,2.8821802,8.983584
E7.5:injection5:clone_424,0,8,1,11.057675,-1.5120054
E7.5:injection5:clone_426,2,0,3,-0.79366153,4.573949
E7.5:injection5:clone_429,2,0,6,-0.2824314,2.193853
E7.5:injection5:clone_43,0,3,4,14.140456,0.46074143
E7.5:injection5:clone_431,1,2,10,8.051382,-1.4857689
E7.5:injection5:clone_432,2,0,6,0.042879045,3.5290217
E7.5:injection5:clone_434,7,11,14,2.4250588,8.893535
E7.5:injection5:clone_435,4,10,11,11.06849,-5.7647347
E7.5:injection5:clone_436,0,3,4,14.821207,1.4812318
E7.5:injection5:clone_438,3,1,15,14.602621,4.012915
E7.5:injection5:clone_439,0,8,1,10.289112,-1.0381268
E7.5:injection5:clone_44,0,3,4,14.33026,-0.07143638
E7.5:injection5:clone_440,2,0,6,-0.08807731,2.6554506
E7.5:injection5:clone_442,0,3,4,13.836972,0.5909941
E7.5:injection5:clone_443,0,8,1,12.22884,0.36800247
E7.5:injection5:clone_444,1,2,10,7.6672087,-1.0426716
E7.5:injection5:clone_445,1,6,12,11.324911,-3.2370713
E7.5:injection5:clone_45,3,1,15,15.055158,4.2010145
E7.5:injection5:clone_451,1,2,8,9.922129,-1.8313799
E7.5:injection5:clone_454,2,0,6,-0.62935746,3.2840571
E7.5:injection5:clone_457,7,11,14,2.2663472,9.200236
E7.5:injection5:clone_459,1,6,13,12.197132,-2.2557356
E7.5:injection5:clone_46,1,6,13,11.158429,-4.5187626
E7.5:injection5:clone_461,0,8,1,10.159727,-0.8614398
E7.5:injection5:clone_462,1,6,13,13.359255,-3.4944103
E7.5:injection5:clone_467,1,2,8,9.050921,-2.2761164
E7.5:injection5:clone_468,3,1,15,14.840358,4.5545144
E7.5:injection5:clone_469,1,2,8,9.576441,-2.0465028
E7.5:injection5:clone_47,1,2,8,8.681565,-2.6943886
E7.5:injection5:clone_475,2,0,6,-0.42265594,2.246791
E7.5:injection5:clone_476,1,2,8,9.625142,-2.3338926
E7.5:injection5:clone_477,1,2,8,8.773709,-1.8849872
E7.5:injection5:clone_478,5,5,0,13.998343,-4.445335
E7.5:injection5:clone_479,1,6,12,9.961743,-2.7590234
E7.5:injection5:clone_48,1,2,8,10.496066,-1.5363915
E7.5:injection5:clone_480,1,2,8,9.154971,-1.8620706
E7.5:injection5:clone_482,1,6,12,11.057991,-2.241193
E7.5:injection5:clone_485,7,11,14,2.3660166,8.741638
E7.5:injection5:clone_486,1,2,10,8.604149,-0.711883
E7.5:injection5:clone_488,6,9,9,-0.95805424,0.5756698
E7.5:injection5:clone_49,3,1,15,15.649956,4.042629
E7.5:injection5:clone_490,7,11,14,2.51797,9.486855
E7.5:injection5:clone_491,2,0,6,0.7688372,2.6870217
E7.5:injection5:clone_492,1,2,10,7.6690116,-1.7750984
E7.5:injection5:clone_499,6,9,18,-0.8103114,-0.71271807
E7.5:injection5:clone_5,3,1,15,15.12524,4.5245304
E7.5:injection5:clone_50,0,3,4,14.524061,-0.16209081
E7.5:injection5:clone_502,1,2,8,9.269855,-2.4034786
E7.5:injection5:clone_503,1,6,13,12.612113,-3.9714406
E7.5:injection5:clone_504,3,1,15,15.549457,3.4874127
E7.5:injection5:clone_506,4,7,5,9.977523,-4.644368
E7.5:injection5:clone_509,5,5,0,15.020506,-2.0358841
E7.5:injection5:clone_51,3,1,15,14.947706,2.9939907
E7.5:injection5:clone_511,3,1,16,16.213366,4.7022786
E7.5:injection5:clone_512,5,5,0,14.791228,-5.198591
E7.5:injection5:clone_513,7,11,14,2.3263204,9.489491
E7.5:injection5:clone_518,0,8,1,11.594385,-1.4520708
E7.5:injection5:clone_519,1,2,10,8.402577,-1.239636
E7.5:injection5:clone_52,1,2,10,8.712666,-1.5679606
E7.5:injection5:clone_520,2,0,6,-0.6140852,3.3474278
E7.5:injection5:clone_522,1,2,10,7.999769,-1.6189101
E7.5:injection5:clone_523,1,2,8,9.990051,-1.911096
E7.5:injection5:clone_525,1,2,8,8.518281,-2.3388567
E7.5:injection5:clone_528,3,1,15,15.130721,4.683803
E7.5:injection5:clone_530,1,2,8,8.875597,-2.5444765
E7.5:injection5:clone_531,0,8,1,12.063009,-0.61318195
E7.5:injection5:clone_533,2,0,6,-0.013235625,3.6308224
E7.5:injection5:clone_534,0,8,1,12.077515,-0.16344362
E7.5:injection5:clone_537,6,9,9,-0.8436693,1.2864088
E7.5:injection5:clone_538,0,3,4,14.92083,-1.0560399
E7.5:injection5:clone_54,3,1,7,16.453602,3.7304523
E7.5:injection5:clone_540,0,3,4,14.3494215,0.02495773
E7.5:injection5:clone_542,5,5,0,14.686077,-3.6903536
E7.5:injection5:clone_546,0,4,2,10.00368,-0.1630343
E7.5:injection5:clone_547,5,5,0,13.40963,-5.459488
E7.5:injection5:clone_55,0,8,1,11.995497,-1.1679635
E7.5:injection5:clone_550,1,6,12,11.206706,-2.088323
E7.5:injection5:clone_553,3,1,16,16.482191,4.9293704
E7.5:injection5:clone_554,1,6,12,11.733871,-3.0545614
E7.5:injection5:clone_555,3,1,16,16.911648,3.6873305
E7.5:injection5:clone_56,0,3,4,14.950036,0.40202773
E7.5:injection5:clone_561,0,8,1,11.226263,-0.48375562
E7.5:injection5:clone_562,5,5,0,14.951681,-4.208937
E7.5:injection5:clone_566,0,8,1,11.75781,-0.027830435
E7.5:injection5:clone_568,1,6,13,13.027218,-3.489436
E7.5:injection5:clone_569,7,11,14,2.2237585,8.785156
E7.5:injection5:clone_57,3,1,7,16.106956,3.2420862
E7.5:injection5:clone_570,1,6,12,11.120726,-2.967754
E7.5:injection5:clone_572,0,3,1,13.341151,-0.48520535
E7.5:injection5:clone_574,1,6,13,12.438127,-3.9416223
E7.5:injection5:clone_577,2,0,6,-0.43656197,4.2201915
E7.5:injection5:clone_58,0,3,4,13.316439,0.85556954
E7.5:injection5:clone_59,0,8,1,11.718207,-0.04514344
E7.5:injection5:clone_590,1,2,8,9.304829,-2.4467816
E7.5:injection5:clone_593,6,9,9,-1.8637532,1.2242858
