,leiden_0.5,leiden_1,leiden_2,perturbation,UMAP1,UMAP2
E7.5:injection10:clone_1288,0,2,6,multi_gRNA,9.584692,10.27997
E7.5:injection10:clone_1290,4,3,5,Fgfr1,13.543909,4.1715636
E7.5:injection10:clone_1298,0,2,7,multi_gRNA,9.081361,11.804125
E7.5:injection10:clone_1308,4,3,13,EGFP-1,14.196627,4.392309
E7.5:injection10:clone_1327,4,3,5,Fgfr1,13.396756,4.279439
E7.5:injection10:clone_1328,5,8,4,multi_gRNA,8.0241785,3.115725
E7.5:injection10:clone_1333,0,2,7,Fgfr1,9.802209,10.585369
E7.5:injection10:clone_1337,0,2,16,Acvr2a,9.395611,9.666039
E7.5:injection10:clone_1339,2,1,1,Acvr2a,12.425203,1.8441157
E7.5:injection10:clone_1361,0,2,6,Lrp2,9.844108,10.481419
E7.5:injection10:clone_1363,5,8,4,multi_gRNA,8.0318165,2.833249
E7.5:injection10:clone_469,4,3,5,multi_gRNA,11.88261,4.2292895
E7.5:injection10:clone_563,1,0,9,Lgr4,13.213637,6.898785
E7.5:injection10:clone_565,2,1,1,Lgr4,10.8146515,0.76030403
E7.5:injection10:clone_566,1,0,9,Fzd2,12.946964,7.7516665
E7.5:injection10:clone_567,4,3,5,Acvr2a,13.19037,5.449183
E7.5:injection10:clone_569,1,0,10,Lgr4,12.769595,6.1084013
E7.5:injection10:clone_570,0,2,7,Lrp2,9.652458,11.187159
E7.5:injection10:clone_571,1,0,2,multi_gRNA,11.533715,9.069756
E7.5:injection10:clone_572,0,5,3,Lgr4,6.6889453,11.051524
E7.5:injection10:clone_573,4,3,13,Fzd2,13.928905,4.381427
E7.5:injection10:clone_574,4,3,13,multi_gRNA,13.370807,3.954151
E7.5:injection10:clone_575,0,5,3,Lrp2,8.1573305,11.448663
E7.5:injection10:clone_576,1,0,11,NA,14.514635,7.6368136
E7.5:injection10:clone_577,0,5,3,Lrp2,7.423358,11.58979
E7.5:injection10:clone_578,4,3,5,EGFP-1,11.753503,4.364185
E7.5:injection10:clone_580,4,3,13,Fgfr1,12.812237,3.109896
E7.5:injection10:clone_581,4,3,5,Lgr4,11.966149,4.290487
E7.5:injection10:clone_582,4,3,5,Acvr2a,12.284779,4.345766
E7.5:injection10:clone_583,1,0,2,Lgr4,13.038043,7.5068817
E7.5:injection10:clone_584,4,3,13,Fzd2,14.327784,4.060352
E7.5:injection10:clone_586,0,2,7,Lgr4,9.450996,12.004717
E7.5:injection10:clone_587,5,8,4,Fzd2,8.573564,2.228624
E7.5:injection10:clone_588,1,0,2,EGFP-1,11.533629,9.139915
E7.5:injection10:clone_589,1,0,11,EGFP-1,14.199463,8.20113
E7.5:injection10:clone_590,0,5,3,multi_gRNA,6.9337626,10.926481
E7.5:injection10:clone_592,4,0,5,Fgfr1,13.218783,5.9406395
E7.5:injection10:clone_593,2,1,1,Fzd2,11.774648,1.0124601
E7.5:injection10:clone_594,0,2,7,Fgfr1,9.33497,10.901103
E7.5:injection10:clone_596,1,0,9,EGFP-1,14.027556,7.453614
E7.5:injection10:clone_597,2,1,0,Lrp2,12.472237,-0.8041064
E7.5:injection10:clone_598,4,3,5,Fzd2,12.127145,3.656193
E7.5:injection10:clone_599,1,0,10,Lgr4,13.015576,6.210167
E7.5:injection10:clone_600,5,8,4,EGFP-1,8.886312,1.5991871
E7.5:injection10:clone_601,1,0,11,Lrp2,14.717271,7.2654266
E7.5:injection10:clone_602,1,0,10,Fgfr1,12.53092,6.117945
E7.5:injection10:clone_605,2,1,0,Lgr4,12.007756,-0.8543656
E7.5:injection10:clone_607,1,0,10,Lgr4,12.099539,6.1253138
E7.5:injection10:clone_608,1,0,10,Lgr4,12.928584,6.3477817
E7.5:injection10:clone_609,0,5,3,multi_gRNA,7.538102,11.314431
E7.5:injection10:clone_610,1,0,2,EGFP-1,12.035886,9.384462
E7.5:injection10:clone_611,1,0,11,Lrp2,14.222789,8.196953
E7.5:injection10:clone_612,1,0,2,Lgr4,12.327153,7.9136677
E7.5:injection10:clone_613,4,0,5,Fzd2,13.1413965,5.740937
E7.5:injection10:clone_614,2,1,0,Lgr4,10.629975,-0.48353666
E7.5:injection10:clone_615,3,4,12,Acvr2a,-3.8372805,7.6911607
